miot;maść;płeć;masa ciała urodzeniowa;1 tydzień;2 tydzień;3 tydzień;4 tydzień;5 tydzień;6 tydzień;7 tydzień;8 tydzień
1;blond;M;500;;1130;1930;3450;4000;4400;;
1;czarna podpalana;M;590;;830;1400;2450;2850;3500;5100;
1;blond;F;530;;1130;1610;2950;3200;4000;5100;
1;blond;M;600;;1150;1720;2950;3150;4100;;
1;blond;M;500;;650;1100;1950;2150;2750;3500;
2;blond;F;480;690;1100;1720;2400;3350;4600;6300;
2;czarna podpalana;F;480;600;1010;1660;2250;3150;4500;5800;
2;blond;M;500;500;960;1500;2100;2800;4100;5300;
2;blond;F;500;600;1040;1660;2400;3150;4250;5400;
2;blond;F;450;630;1050;1700;2400;3350;4400;5900;
2;czarna podpalana;M;500;680;1000;1550;2250;3000;4400;6500;
2;blond;F;450;660;1050;1540;2200;2850;4200;6000;
2;blond;F;450;640;1100;1680;2400;3100;4600;6000;
2;blond;F;440;620;1000;1530;2100;3000;4600;5900;
2;blond;F;480;570;1000;1560;2000;2950;4250;;
3;blond;F;;5100;;;;;;;
3;czarna podpalana;F;;8600;;;;;;;
3;blond;M;;7300;;;;;;;
3;blond;M;;5300;;;;;;;
3;blond;M;;5300;;;;;;;
3;blond;F;;6500;;;;;;;
4;blond;F;;;;;;;;;
4;czarna podpalana;F;;;;;;;;;
4;czarna podpalana;M;;;;;;;;;
4;blond;M;;;;;;;;;
4;blond;F;;;;;;;;;
5;czarna podpalana;F;480;690;12010;1800;2760;3700;;;
5;czarna podpalana;M;490;740;1290;1880;2900;3800;;;
5;czarna podpalana;F;430;630;1150;1650;2570;3450;;;
5;blond;F;470;730;1290;1900;2680;3550;;;
5;blond;M;500;750;1300;1880;2890;4000;;;
5;blond;F;530;800;1290;1920;2910;3800;;;
5;czarna podpalana;F;500;620;1100;1750;2530;3000;;;
5;blond;F;480;680;1260;1900;2760;3750;;;
5;czarna podpalana;M;540;790;1420;2040;3050;4150;;;
5;blond;F;520;720;1370;1930;2990;3950;;;
5;blond;F;490;660;1250;1750;2660;3600;;;
5;czarna podpalana;F;540;780;1370;2000;3080;4250;;;
6;blond;M;580;1000;1500;2540;3350;4150;5300;7000;
6;czarna podpalana;M;660;1030;1570;2730;345;4300;5500;7300;
6;blond;F;640;880;1440;2280;3090;3750;4700;6200;
6;czarna podpalana;M;500;770;1160;1810;2500;3100;3900;5500;
6;czarna podpalana;M;670;1030;1520;2590;3250;4100;4650;6800;
6;czarna podpalana;M;580;960;1500;2420;3300;3950;5100;7000;
6;blond;M;580;880;1380;2280;3000;3700;4400;6600;
6;czarna podpalana;F;550;840;1300;2280;2830;3400;4500;6500;
6;czarna podpalana;F;580;820;1310;2110;2750;3400;4200;6200;
6;czarna podpalana;F;600;880;1450;2310;3000;3650;4500;6500;
6;blond;F;570;890;1430;2440;3130;3800;4500;6400;
6;czarna podpalana;F;620;900;1460;2320;2950;3750;4550;6500;
7;blond;M;500;950;1500;2060;3400;3800;;5900;
7;czarna podpalana;F;530;850;1200;1820;3000;3600;;5150;
7;czarna podpalana;M;540;970;1120;1560;3400;3500;;5050;
7;czarna podpalana;F;560;;1250;1900;3000;3650;;5250;
7;blond;M;770;1180;1600;2600;3750;4800;;6750;
7;czarna podpalana;M;670;1000;1500;2260;3500;3650;;5800;
7;blond;F;670;780;1160;1500;2670;2920;;4150;
7;czarna podpalana;M;720;880;1120;1600;2650;3220;;5200;
7;czarna podpalana;M;550;790;1500;2060;2760;2960;;4950;
7;czarna podpalana;M;600;980;1500;2180;3320;3850;;5800;
7;blond;F;640;1000;1420;2250;3500;3650;;5650;
8;blond;F;400;610;980;1480;2120;3120;4000;;6600
8;blond;M;550;860;1300;1620;2350;3500;4300;;7200
8;czarna podpalana;M;550;970;1210;1620;2450;3660;4760;;8000
8;czarna podpalana;M;520;870;1400;1900;2750;4080;5050;;7500
8;blond;M;570;1090;1500;2460;3280;4670;5800;;
8;czarna podpalana;M;570;1010;1630;2440;3350;4720;5250;;9200
8;blond;M;450;1110;1570;2330;3210;4580;5400;;8500
8;blond;F;490;870;1210;1830;2350;3810;4950;;7900
8;blond;M;550;850;1240;2000;2820;4080;4900;;8200
8;blond;M;550;950;1400;2040;2900;4330;5200;;8700
9;czarna podpalana;M;545;620;1000;1500;2300;3150;4150;;6550
9;blond;F;485;540;750;1150;1850;2500;3500;;6100
9;czarna podpalana;M;500;620;1200;2020;2700;3600;4750;;7650
9;blond;F;470;510;780;1240;1600;2450;3600;;6000
9;czarna podpalana;M;425;580;870;1450;2300;3050;4200;;6750
9;czarna podpalana;F;470;630;1000;1600;2350;2900;4000;;6000
9;czarna podpalana;F;496;630;940;1500;2300;2900;4050;;6350
9;czarna podpalana;M;500;630;920;1500;2450;3300;4700;;7850
9;blond;M;456;630;1200;1750;2600;3500;4700;;7200
9;czarna podpalana;F;475;580;1000;1550;2200;3000;4350;;6500
11;czarna podpalana;M;570;950;1880;;;;;;6000
11;blond;M;440;680;1420;;;;;;5500
11;czarna podpalana;M;400;730;1450;;;;;;6000
11;blond;F;350;690;1450;;;;;;6000
11;czarna podpalana;F;350;690;1300;;;;;;5300
11;blond;M;350;710;1350;;;;;;5100
12;czarna podpalana;M;600;1080;1750;2330;3000;4200;;7200;
12;czarna podpalana;F;530;740;1220;1570;2250;3150;;5200;
12;czarna podpalana;M;410;680;1300;1770;2490;3650;;6300;
12;czarna podpalana;M;590;880;1450;2130;2790;4000;;6600;
12;czarna podpalana;F;610;1000;1650;2100;2850;3800;;6200;
12;czarna podpalana;M;610;740;1250;1650;2360;3300;;5500;
12;blond;M;570;900;1580;2070;2950;3950;;6800;
13;blond;M;530;880;;;3000;;;;6700
13;blond;M;530;900;;;3150;;;;7000
13;czarna;F;560;890;;;3450;;;;7700
13;czarna podpalana;F;520;890;;;3250;;;;6300
13;czarna;M;570;890;;;6500;;;;7500
13;czarna;M;600;890;;;3300;;;;
14;czarna podpalana;F;600;1350;1800;2500;3180;4450;;;
14;blond;M;600;1240;1650;2050;3000;4450;;;
14;blond;F;600;1240;1650;2300;2880;4450;;;
